,ip.src,port.src,ip.dst,port.dst,proto,label,timestamp,ssl_flag,tls_version,sni_flag,cert_chain_len,self_cert_flag,valid_avg,valid_std,expire_flag,age_avg,san_dns_num_avg,consistent_flag,cert_num,fw_pkt_l_max,fw_pkt_l_min ,fw_pkt_l_avg,fw_pkt_l_var,fw_pkt_l_std,fw_byt_s,fw_pkt_s,fw_iat_min,fw_iat_max,fw_iat_avg,fw_iat_std,fw_iat_tot,fw_fin_cnt,fw_syn_cnt,fw_rst_cnt,fw_psh_cnt,fw_ack_cnt,fw_urg_cnt,fw_ece_cnt,fw_cwr_cnt,fw_10_p,fw_20_p,fw_30_p,fw_40_p,fw_50_p,fw_60_p,fw_70_p,fw_80_p,fw_90_p,fw_duration,bw_pkt_l_max,bw_pkt_l_min ,bw_pkt_l_avg,bw_pkt_l_var,bw_pkt_l_std,bw_byt_s,bw_pkt_s,bw_iat_min,bw_iat_max,bw_iat_avg,bw_iat_std,bw_iat_tot,bw_fin_cnt,bw_syn_cnt,bw_rst_cnt,bw_psh_cnt,bw_ack_cnt,bw_urg_cnt,bw_ece_cnt,bw_cwr_cnt,bw_10_p,bw_20_p,bw_30_p,bw_40_p,bw_50_p,bw_60_p,bw_70_p,bw_80_p,bw_90_p,bw_duration,fl_pkt_l_max,fl_pkt_l_min ,fl_pkt_l_avg,fl_pkt_l_var,fl_pkt_l_std,fl_byt_s,fl_pkt_s,fl_iat_min,fl_iat_max,fl_iat_avg,fl_iat_std,fl_iat_tot,fl_fin_cnt,fl_syn_cnt,fl_rst_cnt,fl_psh_cnt,fl_ack_cnt,fl_urg_cnt,fl_ece_cnt,fl_cwr_cnt,fl_10_p,fl_20_p,fl_30_p,fl_40_p,fl_50_p,fl_60_p,fl_70_p,fl_80_p,fl_90_p,fl_duration,fw_hdr_len,bw_hdr_len,down_up_ratio,fw_seg_avg,bw_seg_avg,fl_seg_cnt,conn_state,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,srv_same_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
0,10.12.19.101,49163,195.225.168.230,80,1,4,0.052707,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,339,40,44.859375,1375.527099609375,37.38129028130568,1714.0585036645389,38.20959395142128,1.199999999990098e-05,0.154241,0.0265868571428571,0.0429197995135778,1.674972,0,2,1,1,63,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1.674972,1500,40,1455.3880597014925,41875.5956783248,205.4031396575265,130663.80444716016,89.77935717980259,0.0,0.1540289999999999,0.0111384179104477,0.029968546521913,1.492548,0,1,0,62,134,0,0,0,1464.0,1476.0,1476.0,1488.0,1500.0,1500.0,1500.0,1500.0,1500.0,1.492548,1500,40,999.459595959596,464014.0766503418,682.9124966309068,118147.04962232204,118.21093128720959,0.0,0.1540289999999999,0.0084594545454545,0.0270223499103166,1.674972,0,3,1,63,197,0,0,0,40.0,40.0,40.0,1464.0,1476.0,1488.0,1500.0,1500.0,1500.0,1.674972,1280,2680,67.92824799721352,0,0,0,RSTO,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,10.12.26.101,49162,185.98.7.180,80,1,4,0.087724,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,264,40,42.51063829787234,529.0158442734274,23.123671565842866,1055.5232711712188,24.829626499022663,3.999999999892978e-06,1.725492,0.0407075268817204,0.1925875302433422,3.7858,0,2,1,1,93,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,3.7858,1500,40,1298.8222222222223,30276.03506172841,174.48545762443484,137250.9996412974,105.67343035328389,0.0,0.349134,0.0094631166666666,0.0528182691955985,1.703361,0,1,0,152,180,0,0,0,1132.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1500.0,1.703361,1500,40,867.8248175182482,375779.1225957696,614.1299560339963,62809.44582386814,72.37571979502351,0.0,1.725492,0.0138167883211678,0.1134409839542972,3.7858,0,3,1,153,273,0,0,0,40.0,40.0,40.0,1132.0,1316.0,1316.0,1316.0,1316.0,1316.0,3.7858,1880,3600,58.5055055055055,0,0,0,RSTO,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.12.28.101,49163,199.188.200.142,80,1,4,0.095311,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,342,40,44.36111111111112,1249.7029320987656,35.59921883759018,5327.382143762593,120.09126936471719,5.999999999994898e-05,0.1214349999999999,0.0084442816901408,0.0218449330046274,0.5995440000000001,0,2,1,1,71,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0.599544,1500,40,1300.4772727272727,34169.317665289265,185.37683487720605,460456.14296261576,354.0670433993655,0.0,0.1213169999999999,0.0028243238636363,0.0136319621856743,0.4970809999999999,0,1,0,143,176,0,0,0,1132.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1500.0,0.497081,1500,40,935.798387096774,349700.36257804366,592.550549337063,387090.8557170116,413.64770558958145,0.0,0.1213169999999999,0.0024175161290322,0.0121659001011431,0.5995440000000001,0,3,1,144,247,0,0,0,40.0,40.0,616.7999999999979,1279.200000000002,1316.0,1316.0,1316.0,1316.0,1500.0,0.599544,1440,3520,71.66061365059487,0,0,0,RSTO,2,4,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10.12.28.101,49163,199.188.200.142,80,1,4,0.095311,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,342,40,44.36111111111112,1249.7029320987656,35.59921883759018,5327.382143762593,120.09126936471719,5.999999999994898e-05,0.1214349999999999,0.0084442816901408,0.0218449330046274,0.5995440000000001,0,2,1,1,71,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0.599544,1500,40,1300.4772727272727,34169.317665289265,185.37683487720605,460456.14296261576,354.0670433993655,0.0,0.1213169999999999,0.0028243238636363,0.0136319621856743,0.4970809999999999,0,1,0,143,176,0,0,0,1132.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1500.0,0.497081,1500,40,935.798387096774,349700.36257804366,592.550549337063,387090.8557170116,413.64770558958145,0.0,0.1213169999999999,0.0024175161290322,0.0121659001011431,0.5995440000000001,0,3,1,144,247,0,0,0,40.0,40.0,616.7999999999979,1279.200000000002,1316.0,1316.0,1316.0,1316.0,1500.0,0.599544,1440,3520,71.66061365059487,0,0,0,RSTO,2,4,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10.12.21.101,49163,50.62.232.1,80,1,4,0.106748,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,270,40,43.903225806451616,840.3132154006242,29.224798406192672,3520.020276972058,80.17680278187642,4.000000000004e-06,0.199592,0.0126769016393442,0.0390587741827214,0.7732910000000001,0,2,1,1,61,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0.7732910000000001,1500,40,1305.758865248227,34442.9773150244,186.24982840679425,345527.66950114764,264.61828343433245,0.0,0.1496239999999999,0.0037790283687943,0.0203707677928599,0.532843,0,1,0,114,141,0,0,0,1132.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1500.0,0.532843,1500,40,920.3645320197044,361963.3153922688,603.1212257856795,241608.91566046933,262.5143703987244,0.0,0.1993249999999999,0.0038093152709359,0.0220338424649764,0.7732910000000001,0,3,1,115,202,0,0,0,40.0,40.0,42.39999999999998,1279.200000000002,1316.0,1316.0,1316.0,1316.0,1500.0,0.7732910000000001,1240,2820,67.63850110213079,0,0,0,RSTO,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10.12.27.102,49166,199.188.200.143,80,1,4,0.154438,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,285,40,49.88461538461539,2216.486686390533,48.01193761811904,950.872097072531,19.061429856504088,7.000000000090267e-06,0.200049,0.0545604399999999,0.0842585779926293,1.364011,0,2,1,1,25,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1.364011,1500,40,1286.9333333333334,60493.79555555554,247.61114530505137,83390.28328677981,64.79767143087946,0.0,0.1996569999999999,0.0154326533333333,0.0504006740759548,1.1574490000000002,0,1,0,53,75,0,0,0,1132.0,1132.0,1316.0,1316.0,1316.0,1316.0,1316.0,1500.0,1500.0,1.157449,1500,40,968.4851485148516,338018.3883932948,584.2932245689897,71712.76477975618,74.04632367334281,0.0,0.1996569999999999,0.0135050594059405,0.0471111439179355,1.364011,0,3,1,54,100,0,0,0,40.0,40.0,1132.0,1132.0,1316.0,1316.0,1316.0,1316.0,1500.0,1.364011,520,1500,74.41788743253662,0,0,0,RSTO,2,7,0.0,0.0,0.0,0.0,1.0,0.0,0.7142857142857143,0.2857142857142857,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,10.12.27.102,49166,199.188.200.143,80,1,4,0.154438,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,285,40,49.88461538461539,2216.486686390533,48.01193761811904,950.872097072531,19.061429856504088,7.000000000090267e-06,0.200049,0.0545604399999999,0.0842585779926293,1.364011,0,2,1,1,25,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1.364011,1500,40,1286.9333333333334,60493.79555555554,247.61114530505137,83390.28328677981,64.79767143087946,0.0,0.1996569999999999,0.0154326533333333,0.0504006740759548,1.1574490000000002,0,1,0,53,75,0,0,0,1132.0,1132.0,1316.0,1316.0,1316.0,1316.0,1316.0,1500.0,1500.0,1.157449,1500,40,968.4851485148516,338018.3883932948,584.2932245689897,71712.76477975618,74.04632367334281,0.0,0.1996569999999999,0.0135050594059405,0.0471111439179355,1.364011,0,3,1,54,100,0,0,0,40.0,40.0,1132.0,1132.0,1316.0,1316.0,1316.0,1316.0,1500.0,1.364011,520,1500,74.41788743253662,0,0,0,RSTO,2,7,0.0,0.0,0.0,0.0,1.0,0.0,0.7142857142857143,0.2857142857142857,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10.12.21.103,49159,31.31.196.247,80,1,4,0.211659,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,271,40,45.65116279069768,1212.3666846944293,35.231130525992704,1887.216917462381,41.33995285322586,1.9999999998354667e-06,0.232202,0.024765619047619,0.0545901818662733,1.040156,0,2,1,1,42,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1.040156,1500,40,1287.4578313253012,55042.22412541733,236.03701142213512,132828.08633036292,103.17082478237792,0.0,0.2314009999999999,0.0096926626506024,0.0365448540184014,0.8044910000000001,0,1,0,61,83,0,0,0,1132.0,1132.0,1316.0,1316.0,1316.0,1316.0,1316.0,1500.0,1500.0,0.8044910000000001,1500,40,863.6666666666666,383339.4603174604,621.6157784355221,104620.84533473826,121.13567580247577,0.0,0.2314009999999999,0.0082552063492063,0.033273773869597,1.040156,0,3,1,62,125,0,0,0,40.0,40.0,40.0,1132.0,1224.0,1316.0,1316.0,1316.0,1500.0,1.040156,860,1660,54.43657666836475,0,0,0,RSTO,1,8,0.0,0.0,0.0,0.0,1.0,0.0,0.875,0.125,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10.12.19.102,49178,209.250.235.68,80,1,4,0.419928,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,326,40,45.13793103448276,1386.3602853745535,37.559052113229406,201.57300861959448,4.465712184849687,2.9999999999752447e-06,11.60624,0.2278570175438596,1.535497855376712,12.98785,0,2,1,1,57,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12.98785,1500,40,1289.256198347107,65401.13270951437,256.79980947960286,126791.12787210352,98.3444004649008,0.0,0.421501,0.010168347107438,0.0458959159827449,1.23037,0,1,0,81,121,0,0,0,1132.0,1132.0,1316.0,1316.0,1316.0,1316.0,1500.0,1500.0,1500.0,1.23037,1500,40,886.1340782122905,383683.0658219157,621.1590687284634,12212.798885111855,13.78211174289817,0.0,11.60624,0.0725578212290502,0.8678088579031437,12.98785,0,3,1,82,178,0,0,0,40.0,40.0,40.0,1132.0,1316.0,1316.0,1316.0,1500.0,1500.0,12.98785,1160,2420,59.58747135217723,0,0,0,RSTO,1,9,0.0,0.0,0.0,0.0,1.0,0.0,0.8888888888888888,0.1111111111111111,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10.12.20.101,49170,209.250.235.68,80,1,4,0.467138,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,321,40,43.44705882352941,918.7648442906576,30.491023613653965,271.4378976109496,6.247555184654947,2.0000000000575118e-06,11.637381,0.161968119047619,1.269041857244127,13.605322,0,2,1,1,84,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,13.605322,1500,40,1299.715909090909,45161.66929235537,213.11906525232783,126360.34157893254,97.22150871209672,0.0,0.486504,0.0102857897727272,0.0482005437673667,1.810299,0,1,0,129,176,0,0,0,1132.0,1132.0,1316.0,1316.0,1316.0,1316.0,1316.0,1500.0,1500.0,1.810299,1500,40,890.5862068965517,377342.84793235565,615.4625631005101,17084.71140925588,19.183669449352248,0.0,11.637381,0.0521276704980843,0.7210098592904571,13.605322,0,3,1,130,260,0,0,0,40.0,40.0,40.0,1132.0,1316.0,1316.0,1316.0,1316.0,1500.0,13.605322,1700,3520,61.94151096669375,0,0,0,RSTO,2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
